Epoch 1: Loss=1.7200, Accuracy=37.0547, Precision=0.3479, F1=0.3090
Epoch 2: Loss=1.4346, Accuracy=47.4270, Precision=0.5080, F1=0.4578
Epoch 3: Loss=1.2766, Accuracy=52.1637, Precision=0.5476, F1=0.5184
Epoch 4: Loss=1.1671, Accuracy=55.7665, Precision=0.5871, F1=0.5535
Epoch 5: Loss=1.0893, Accuracy=58.5240, Precision=0.6052, F1=0.5823
Epoch 6: Loss=1.0213, Accuracy=59.6914, Precision=0.6305, F1=0.5921
Epoch 7: Loss=0.9660, Accuracy=61.6370, Precision=0.6388, F1=0.6136
Epoch 8: Loss=0.9219, Accuracy=62.5428, Precision=0.6360, F1=0.6223
Epoch 9: Loss=0.8823, Accuracy=63.8846, Precision=0.6642, F1=0.6345
Epoch 10: Loss=0.8471, Accuracy=65.0788, Precision=0.6660, F1=0.6509
Epoch 11: Loss=0.8200, Accuracy=65.2063, Precision=0.6643, F1=0.6504
Epoch 12: Loss=0.7931, Accuracy=66.0114, Precision=0.6698, F1=0.6578
Epoch 13: Loss=0.7781, Accuracy=66.7159, Precision=0.6845, F1=0.6637
Epoch 14: Loss=0.7601, Accuracy=66.8970, Precision=0.6793, F1=0.6643
Epoch 15: Loss=0.7324, Accuracy=68.0845, Precision=0.6839, F1=0.6764
Epoch 16: Loss=0.7151, Accuracy=67.6216, Precision=0.6925, F1=0.6756
Epoch 17: Loss=0.7085, Accuracy=67.7558, Precision=0.7010, F1=0.6767
Epoch 18: Loss=0.6889, Accuracy=68.5005, Precision=0.6940, F1=0.6856
Epoch 19: Loss=0.6802, Accuracy=68.1583, Precision=0.6992, F1=0.6813
Epoch 20: Loss=0.6704, Accuracy=68.8561, Precision=0.7008, F1=0.6896
Epoch 21: Loss=0.6589, Accuracy=69.3190, Precision=0.7053, F1=0.6916
Epoch 22: Loss=0.6508, Accuracy=68.9433, Precision=0.7053, F1=0.6870
Epoch 23: Loss=0.6414, Accuracy=69.1446, Precision=0.7071, F1=0.6911
Epoch 24: Loss=0.6288, Accuracy=69.6276, Precision=0.7107, F1=0.6960
Epoch 25: Loss=0.6236, Accuracy=69.5404, Precision=0.7100, F1=0.6943
Epoch 26: Loss=0.6211, Accuracy=69.4264, Precision=0.7045, F1=0.6918
Epoch 27: Loss=0.6065, Accuracy=70.2784, Precision=0.7069, F1=0.7000
Epoch 28: Loss=0.6059, Accuracy=70.2650, Precision=0.7191, F1=0.7000
Epoch 29: Loss=0.5996, Accuracy=70.6407, Precision=0.7182, F1=0.7048
Epoch 30: Loss=0.5930, Accuracy=70.4059, Precision=0.7071, F1=0.7021
Epoch 31: Loss=0.5873, Accuracy=70.4193, Precision=0.7168, F1=0.7040
Epoch 32: Loss=0.5881, Accuracy=70.1308, Precision=0.7151, F1=0.6976
Epoch 33: Loss=0.5794, Accuracy=70.7145, Precision=0.7088, F1=0.7070
Epoch 34: Loss=0.5768, Accuracy=70.5535, Precision=0.7161, F1=0.7044
Epoch 35: Loss=0.5709, Accuracy=70.8286, Precision=0.7152, F1=0.7055
Epoch 36: Loss=0.5709, Accuracy=70.9628, Precision=0.7232, F1=0.7059
Epoch 37: Loss=0.5652, Accuracy=70.9628, Precision=0.7188, F1=0.7062
Epoch 38: Loss=0.5598, Accuracy=71.5330, Precision=0.7295, F1=0.7148
Epoch 39: Loss=0.5564, Accuracy=71.3049, Precision=0.7206, F1=0.7114
Epoch 40: Loss=0.5566, Accuracy=71.2513, Precision=0.7177, F1=0.7089
Epoch 41: Loss=0.5569, Accuracy=70.8152, Precision=0.7255, F1=0.7067
Epoch 42: Loss=0.5513, Accuracy=71.4660, Precision=0.7169, F1=0.7124
Epoch 43: Loss=0.5478, Accuracy=71.6941, Precision=0.7161, F1=0.7131
Epoch 44: Loss=0.5451, Accuracy=71.8886, Precision=0.7198, F1=0.7149
Epoch 45: Loss=0.5437, Accuracy=71.5263, Precision=0.7148, F1=0.7125
Epoch 46: Loss=0.5421, Accuracy=71.8148, Precision=0.7189, F1=0.7153
Epoch 47: Loss=0.5369, Accuracy=71.9289, Precision=0.7261, F1=0.7172
Epoch 48: Loss=0.5354, Accuracy=71.9289, Precision=0.7239, F1=0.7159
Epoch 49: Loss=0.5335, Accuracy=71.9557, Precision=0.7236, F1=0.7174
Epoch 50: Loss=0.5314, Accuracy=72.1503, Precision=0.7266, F1=0.7202
Epoch 51: Loss=0.5279, Accuracy=72.4522, Precision=0.7328, F1=0.7211
Epoch 52: Loss=0.5266, Accuracy=72.1302, Precision=0.7342, F1=0.7206
Epoch 53: Loss=0.5224, Accuracy=71.9289, Precision=0.7224, F1=0.7162
Epoch 54: Loss=0.5201, Accuracy=72.6065, Precision=0.7275, F1=0.7212
Epoch 55: Loss=0.5202, Accuracy=72.4522, Precision=0.7203, F1=0.7186
Epoch 56: Loss=0.5173, Accuracy=72.9755, Precision=0.7415, F1=0.7287
Epoch 57: Loss=0.5132, Accuracy=72.9956, Precision=0.7315, F1=0.7274
Epoch 58: Loss=0.5137, Accuracy=73.2103, Precision=0.7294, F1=0.7275
Epoch 59: Loss=0.5131, Accuracy=72.7206, Precision=0.7306, F1=0.7250
Epoch 60: Loss=0.5093, Accuracy=72.8480, Precision=0.7325, F1=0.7265
Epoch 61: Loss=0.5072, Accuracy=73.2506, Precision=0.7386, F1=0.7284
Epoch 62: Loss=0.5029, Accuracy=72.9084, Precision=0.7279, F1=0.7274
Epoch 63: Loss=0.5059, Accuracy=73.4988, Precision=0.7358, F1=0.7327
Epoch 64: Loss=0.5034, Accuracy=72.9353, Precision=0.7348, F1=0.7264
Epoch 65: Loss=0.5018, Accuracy=72.9755, Precision=0.7327, F1=0.7254
Epoch 66: Loss=0.4953, Accuracy=73.4653, Precision=0.7346, F1=0.7326
Epoch 67: Loss=0.4991, Accuracy=73.1030, Precision=0.7402, F1=0.7298
Epoch 68: Loss=0.4978, Accuracy=72.9487, Precision=0.7366, F1=0.7284
Epoch 69: Loss=0.4965, Accuracy=72.9755, Precision=0.7374, F1=0.7280
Epoch 70: Loss=0.5005, Accuracy=73.0359, Precision=0.7320, F1=0.7266
Epoch 71: Loss=0.4930, Accuracy=73.5458, Precision=0.7330, F1=0.7334
Epoch 72: Loss=0.4934, Accuracy=73.6464, Precision=0.7327, F1=0.7326
Epoch 73: Loss=0.4892, Accuracy=73.7739, Precision=0.7415, F1=0.7330
Epoch 74: Loss=0.4897, Accuracy=73.7605, Precision=0.7372, F1=0.7348
Epoch 75: Loss=0.4875, Accuracy=73.9685, Precision=0.7420, F1=0.7396
Epoch 76: Loss=0.4934, Accuracy=73.6196, Precision=0.7403, F1=0.7302
Epoch 77: Loss=0.4890, Accuracy=73.6397, Precision=0.7371, F1=0.7321
Epoch 78: Loss=0.4847, Accuracy=73.8209, Precision=0.7397, F1=0.7334
Epoch 79: Loss=0.4857, Accuracy=73.5928, Precision=0.7412, F1=0.7317
Epoch 80: Loss=0.4771, Accuracy=73.8007, Precision=0.7327, F1=0.7332
Epoch 81: Loss=0.4804, Accuracy=73.9215, Precision=0.7523, F1=0.7373
Epoch 82: Loss=0.4813, Accuracy=73.2976, Precision=0.7309, F1=0.7304
Epoch 83: Loss=0.4775, Accuracy=73.9953, Precision=0.7461, F1=0.7358
Epoch 84: Loss=0.4762, Accuracy=74.0490, Precision=0.7415, F1=0.7349
Epoch 85: Loss=0.4759, Accuracy=73.9752, Precision=0.7371, F1=0.7365
Epoch 86: Loss=0.4764, Accuracy=74.1362, Precision=0.7434, F1=0.7390
Epoch 87: Loss=0.4764, Accuracy=73.8343, Precision=0.7389, F1=0.7352
Epoch 88: Loss=0.4709, Accuracy=74.4314, Precision=0.7485, F1=0.7411
Epoch 89: Loss=0.4759, Accuracy=73.8477, Precision=0.7386, F1=0.7338
Epoch 90: Loss=0.4729, Accuracy=74.4448, Precision=0.7444, F1=0.7400
Epoch 91: Loss=0.4711, Accuracy=74.0691, Precision=0.7380, F1=0.7357
Epoch 92: Loss=0.4734, Accuracy=74.2905, Precision=0.7499, F1=0.7406
Epoch 93: Loss=0.4697, Accuracy=74.5119, Precision=0.7521, F1=0.7427
Epoch 94: Loss=0.4709, Accuracy=73.9819, Precision=0.7494, F1=0.7356
Epoch 95: Loss=0.4654, Accuracy=74.1027, Precision=0.7488, F1=0.7386
Epoch 96: Loss=0.4628, Accuracy=74.9748, Precision=0.7507, F1=0.7491
Epoch 97: Loss=0.4684, Accuracy=74.0356, Precision=0.7378, F1=0.7365
Epoch 98: Loss=0.4659, Accuracy=74.3308, Precision=0.7466, F1=0.7411
Epoch 99: Loss=0.4633, Accuracy=74.3911, Precision=0.7489, F1=0.7380
Epoch 100: Loss=0.4647, Accuracy=74.5186, Precision=0.7453, F1=0.7417
Epoch 101: Loss=0.4650, Accuracy=73.9618, Precision=0.7454, F1=0.7393
Epoch 102: Loss=0.4629, Accuracy=74.3777, Precision=0.7412, F1=0.7395
Epoch 103: Loss=0.4613, Accuracy=74.5924, Precision=0.7455, F1=0.7464
Epoch 104: Loss=0.4603, Accuracy=74.8876, Precision=0.7512, F1=0.7456
Epoch 105: Loss=0.4584, Accuracy=74.9010, Precision=0.7462, F1=0.7427
