Epoch 1: Loss=1.9781, Accuracy=25.2854, Precision=0.2753, F1=0.1994
Epoch 2: Loss=1.6208, Accuracy=38.7112, Precision=0.4290, F1=0.3584
Epoch 3: Loss=1.4266, Accuracy=45.9872, Precision=0.4871, F1=0.4525
Epoch 4: Loss=1.3083, Accuracy=49.8711, Precision=0.5191, F1=0.4959
Epoch 5: Loss=1.2218, Accuracy=52.7456, Precision=0.5443, F1=0.5242
Epoch 6: Loss=1.1524, Accuracy=55.2627, Precision=0.5655, F1=0.5491
Epoch 7: Loss=1.1007, Accuracy=56.7062, Precision=0.5796, F1=0.5635
Epoch 8: Loss=1.0557, Accuracy=57.7970, Precision=0.5886, F1=0.5752
Epoch 9: Loss=1.0133, Accuracy=59.2817, Precision=0.6013, F1=0.5901
Epoch 10: Loss=0.9786, Accuracy=60.1511, Precision=0.6100, F1=0.5985
Epoch 11: Loss=0.9501, Accuracy=61.1345, Precision=0.6185, F1=0.6093
Epoch 12: Loss=0.9222, Accuracy=61.6818, Precision=0.6239, F1=0.6149
Epoch 13: Loss=0.9010, Accuracy=62.2531, Precision=0.6298, F1=0.6210
Epoch 14: Loss=0.8805, Accuracy=62.7266, Precision=0.6334, F1=0.6260
Epoch 15: Loss=0.8617, Accuracy=63.1924, Precision=0.6374, F1=0.6306
Epoch 16: Loss=0.8373, Accuracy=63.9582, Precision=0.6451, F1=0.6387
Epoch 17: Loss=0.8222, Accuracy=64.1298, Precision=0.6460, F1=0.6404
Epoch 18: Loss=0.8075, Accuracy=64.6177, Precision=0.6501, F1=0.6455
Epoch 19: Loss=0.7943, Accuracy=65.0960, Precision=0.6559, F1=0.6507
Epoch 20: Loss=0.7819, Accuracy=65.3471, Precision=0.6573, F1=0.6532
Epoch 21: Loss=0.7707, Accuracy=65.6145, Precision=0.6608, F1=0.6561
Epoch 22: Loss=0.7580, Accuracy=66.1130, Precision=0.6655, F1=0.6612
Epoch 23: Loss=0.7499, Accuracy=66.2529, Precision=0.6640, F1=0.6617
Epoch 24: Loss=0.7366, Accuracy=66.4226, Precision=0.6684, F1=0.6642
Epoch 25: Loss=0.7250, Accuracy=66.8184, Precision=0.6709, F1=0.6671
Epoch 26: Loss=0.7187, Accuracy=66.8644, Precision=0.6709, F1=0.6679
Epoch 27: Loss=0.7128, Accuracy=66.9545, Precision=0.6725, F1=0.6690
Epoch 28: Loss=0.7039, Accuracy=67.1482, Precision=0.6740, F1=0.6716
Epoch 29: Loss=0.6997, Accuracy=67.3974, Precision=0.6762, F1=0.6737
Epoch 30: Loss=0.6894, Accuracy=67.6753, Precision=0.6770, F1=0.6762
